Sample,Year,Season,Region,Harvest,ReefID,CollectionName,Cluster,Live,Oys,Barn,Mus,Clam,Total.Other,Total,Fishery,Pre-Fishery,Spat,Total.Oys
W16,2016,Winter,Matanzas River,N,FM31,W16FM31R1,17,20,72,24,5,4,33,105,7,17,48,72
W16,2016,Winter,Matanzas River,N,FM31,W16FM31R20,23,19,133,6,6,0,12,145,8,59,66,133
W16,2016,Winter,Matanzas River,Y,FM32,W16FM32R11,9,22,50,8,3,0,11,61,6,33,11,50
W16,2016,Winter,Matanzas River,Y,FM32,W16FM32R16,14,33,58,23,5,7,35,93,4,35,19,58
W16,2016,Winter,Matanzas River,Y,FM32,W16FM32R1,14,30,99,4,15,0,19,118,6,58,35,99
S16,2016,Summer,Matanzas River,Y,FM368,S16FM368R17,15,31,69,3,0,1,4,73,5,49,15,69
S16,2016,Summer,Matanzas River,Y,FM368,S16FM368R24,14,16,51,2,22,0,24,75,1,28,22,51
S16,2016,Summer,Matanzas River,Y,FM368,S16FM368R9,9,45,147,4,43,4,51,198,15,68,64,147
S16,2016,Summer,Matanzas River,Y,FM373,S16FM373R12,13,30,84,7,6,4,17,101,12,57,15,84
S16,2016,Summer,Matanzas River,Y,FM373,S16FM373R5,23,24,120,6,43,1,50,170,5,59,56,120
S16,2016,Summer,Matanzas River,Y,FM373,S16FM373R3,13,21,110,4,64,6,74,184,6,66,38,110
S16,2016,Summer,Matanzas River,Y,FM384,S16FM384R10,13,36,78,8,14,0,22,100,12,51,15,78
S16,2016,Summer,Matanzas River,Y,FM384,S16FM384R8,15,43,144,5,23,0,28,172,20,90,34,144
S16,2016,Summer,Matanzas River,Y,FM384,S16FM384R4,15,35,147,4,34,12,50,197,10,78,59,147
S16,2016,Summer,Matanzas River,Y,FM390,S16FM390R10,13,30,73,16,19,0,35,108,5,43,25,73
S16,2016,Summer,Matanzas River,Y,FM390,S16FM390R4,23,35,111,4,33,0,37,148,8,65,38,111
S16,2016,Summer,Matanzas River,Y,FM390,S16FM390R8,21,28,77,18,37,0,55,132,5,47,25,77
S15,2015,Summer,Matanzas River,Y,FM3A,S15FM3R9,11,26,38,1,0,0,1,39,0,29,9,38
S15,2015,Summer,Matanzas River,Y,FM3A,S15FM3R17,14,25,67,6,8,0,14,81,1,30,19,50
S15,2015,Summer,Matanzas River,Y,FM3A,S15FM3R2,21,27,91,15,9,0,24,115,2,31,17,50
S15,2015,Summer,Matanzas River,Y,FM4,S15FM4R27,5,18,59,1,4,0,5,64,2,32,16,50
W15,2015,Winter,Matanzas River,Y,FM4,W15FM4R15,NA,39,101,0,4,0,4,105,5,32,13,50
S15,2015,Summer,Matanzas River,Y,FM4,S15FM4R10,17,33,54,1,5,0,6,60,5,23,22,50
S15,2015,Summer,Matanzas River,Y,FM4,S15FM4R6,20,37,84,1,7,0,8,92,1,29,20,50
W15,2015,Winter,Matanzas River,Y,FM4,W15FM4R23,NA,12,131,0,7,0,7,138,1,31,18,50
W15,2015,Winter,Matanzas River,Y,FM4,W15FM4R25,NA,23,181,9,23,0,32,213,5,25,20,50
W16,2016,Winter,Matanzas River,Y,FM40,W16FM40R37,17,37,61,0,4,6,10,71,2,32,27,61
W16,2016,Winter,Matanzas River,Y,FM40,W16FM40R1,6,35,95,18,9,9,36,131,5,35,55,95
W16,2016,Winter,Matanzas River,Y,FM40,W16FM40R43,8,37,131,7,17,5,29,160,20,69,42,131
S16,2016,Summer,Matanzas River,Y,FM411,S16FM411R11,9,15,20,10,1,0,11,31,0,14,6,20
S16,2016,Summer,Matanzas River,Y,FM411,S16FM411R15,7,11,35,16,3,0,19,54,2,21,12,35
S16,2016,Summer,Matanzas River,Y,FM411,S16FM411R17,9,16,64,37,26,4,67,131,6,38,20,64
W16,2016,Winter,Matanzas River,Y,FM46,W16FM46R18,25,28,47,0,2,0,2,49,4,16,27,47
W16,2016,Winter,Matanzas River,Y,FM46,W16FM46R30,15,19,70,4,4,1,9,79,6,35,29,70
W16,2016,Winter,Matanzas River,Y,FM46,W16FM46R4,29,36,116,1,7,2,10,126,5,67,44,116
S16,2016,Summer,Matanzas River,Y,FM494,S16FM494R6,11,42,96,1,18,1,20,116,7,64,25,96
S16,2016,Summer,Matanzas River,Y,FM494,S16FM494R12,16,48,165,1,44,1,46,211,18,106,41,165
S16,2016,Summer,Matanzas River,Y,FM494,S16FM494R2,20,51,159,6,50,4,60,219,8,95,56,159
S16,2016,Summer,Matanzas River,Y,FM50,S16FM50R1,13,29,103,5,24,0,29,132,5,73,25,103
S16,2016,Summer,Matanzas River,Y,FM50,S16FM50R12,8,23,165,2,28,3,33,198,0,72,93,165
S16,2016,Summer,Matanzas River,Y,FM50,S16FM50R9,15,42,87,0,29,2,31,118,1,59,27,87
W16,2016,Winter,Matanzas River,N,FM56,W16FM56R16,13,15,72,10,6,1,17,89,0,38,34,72
W16,2016,Winter,Matanzas River,N,FM56,W16FM56R17,6,21,94,24,6,2,32,126,2,42,50,94
W16,2016,Winter,Matanzas River,N,FM56,W16FM56R13,NA,17,81,1,7,2,10,91,1,30,50,81
S16,2016,Summer,Matanzas River,Y,FM562,S16FM562R11,8,19,30,1,6,0,7,37,2,22,6,30
S16,2016,Summer,Matanzas River,Y,FM562,S16FM562R0,7,19,81,1,12,0,13,94,5,51,25,81
S16,2016,Summer,Matanzas River,Y,FM562,S16FM562R1,10,17,73,6,29,0,35,108,5,47,21,73
W16,2016,Winter,Matanzas River,Y,FM604,W16FM604R2,24,25,164,4,11,10,25,189,0,59,105,164
W16,2016,Winter,Matanzas River,Y,FM604,W16FM604R9,13,30,163,6,16,6,28,194,4,56,103,163
W16,2016,Winter,Matanzas River,Y,FM604,W16FM604R1,12,28,243,13,62,16,91,337,10,114,119,243
W16,2016,Winter,Matanzas River,N,FM614,W16FM614R10,10,19,70,8,0,0,8,78,0,34,36,70
W16,2016,Winter,Matanzas River,N,FM614,W16FM614R5,9,28,101,13,4,0,17,118,4,55,42,101
W16,2016,Winter,Matanzas River,N,FM614,W16FM614R1,14,20,101,14,8,1,23,124,1,60,40,101
W16,2016,Winter,Matanzas River,N,FM631,W16FM631R5,7,7,49,17,0,0,17,66,0,32,17,49
W16,2016,Winter,Matanzas River,N,FM631,W16FM631R3,7,28,62,13,2,0,15,77,2,46,14,62
W16,2016,Winter,Matanzas River,N,FM631,W16FM631R6,16,16,69,16,4,0,20,89,3,37,29,69
W16,2016,Winter,Matanzas River,N,FM655,W16FM655R17,19,27,159,7,4,1,12,171,3,85,71,159
W16,2016,Winter,Matanzas River,N,FM655,W16FM655R10,26,45,180,17,23,2,42,224,1,91,88,180
W16,2016,Winter,Matanzas River,N,FM655,W16FM655R13,19,47,277,41,23,14,78,356,5,113,159,277
W16,2016,Winter,Matanzas River,Y,FM77,W16FM77R1,7,34,83,10,2,0,12,95,3,36,44,83
W16,2016,Winter,Matanzas River,Y,FM77,W16FM77R4,15,35,101,32,8,0,40,141,3,60,38,101
W16,2016,Winter,Matanzas River,Y,FM77,W16FM77R21,10,20,59,13,12,1,26,85,3,40,16,59
W16,2016,Winter,Matanzas River,N,FM788,W16FM788R4,11,22,95,50,0,0,50,145,9,51,35,95
W16,2016,Winter,Matanzas River,N,FM788,W16FM788R5,13,26,110,26,2,0,28,140,11,47,52,110
W16,2016,Winter,Matanzas River,N,FM788,W16FM788R2,10,31,74,28,5,0,33,107,8,33,33,74
W16,2016,Winter,Matanzas River,Y,FM79,W16FM79R4,18,28,74,4,11,1,16,90,6,31,37,74
W16,2016,Winter,Matanzas River,Y,FM79,W16FM79R18,7,35,98,1,13,0,14,112,7,55,36,98
W16,2016,Winter,Matanzas River,Y,FM79,W16FM79R9,19,39,98,15,13,2,30,128,12,39,47,98
W16,2016,Winter,Matanzas River,Y,FM84,W16FM84R15,27,24,84,3,5,0,8,92,10,50,24,84
W16,2016,Winter,Matanzas River,Y,FM84,W16FM84R5,15,27,58,2,5,4,11,69,5,30,23,58
W16,2016,Winter,Matanzas River,Y,FM84,W16FM84R2,15,42,156,25,36,1,62,219,9,74,73,156
S15,2015,Summer,Matanzas River,N,FMNR6,S15FMNR6R4,17,15,13,0,0,0,0,13,1,9,3,13
S15,2015,Summer,Matanzas River,N,FMNR6,S15FMNR6R2,21,21,34,3,1,0,4,38,1,17,16,34
S15,2015,Summer,Matanzas River,N,FMNR6,S15FMNR6R1,19,27,36,2,11,0,13,49,10,18,8,36
W15,2015,Winter,Matanzas River,N,MC1,W15MC1R10,5,26,64,1,2,0,3,67,0,37,13,50
W15,2015,Winter,Matanzas River,N,MC1,W15MC1R13,6,18,89,2,2,1,5,94,3,29,18,50
S15,2015,Summer,Matanzas River,N,MC1,S15MC1R13,14,18,131,3,3,0,6,139,0,25,25,50
S15,2015,Summer,Matanzas River,N,MC1,S15MC1R8,32,35,104,5,5,0,10,117,1,31,18,50
S15,2015,Summer,Matanzas River,N,MC1,S15MC1R4,23,17,149,6,8,1,15,164,1,21,28,50
S15,2015,Summer,Matanzas River,N,MC2,S15MC2R1,35,44,86,1,0,0,1,87,4,40,6,50
S15,2015,Summer,Matanzas River,N,MC2,S15MC2R19,22,15,92,1,1,1,3,95,1,32,17,50
S15,2015,Summer,Matanzas River,N,MC2,S15MC2R8,25,30,63,1,2,0,3,66,4,37,9,50
W15,2015,Winter,Matanzas River,N,MC2,W15MC2R1,NA,25,81,1,2,0,3,84,2,35,13,50
W15,2015,Winter,Matanzas River,N,MC2,W15MC2R41,7,22,70,2,4,0,6,76,0,34,16,50
W15,2015,Winter,Matanzas River,N,MC2,W15MC2R27,3,20,117,0,7,0,7,124,0,40,10,50
S15,2015,Summer,Salt Run,N,SR1,S15SR1R12,1,17,27,1,0,0,1,28,2,19,6,27
S15,2015,Summer,Salt Run,N,SR1,S15SR1R14,1,15,32,0,0,0,0,32,4,20,8,32
W15,2015,Winter,Salt Run,N,SR1,W15SR1R2,1,8,30,1,0,0,1,31,4,20,6,30
W15,2015,Winter,Salt Run,N,SR1,W15SR1R4,9,22,24,0,0,0,0,24,2,18,4,24
W15,2015,Winter,Salt Run,N,SR1,W15SR1R1,2,13,69,2,1,0,3,72,4,28,18,50
S15,2015,Summer,Salt Run,N,SR1,S15SR1R0,2,10,102,12,2,0,14,116,0,19,31,50
S15,2015,Summer,Salt Run,N,SR10,S15SR10R15,4,21,107,36,0,0,36,143,2,8,40,50
S15,2015,Summer,Salt Run,N,SR10,S15SR10R17,4,29,52,36,0,0,36,88,4,19,27,50
S15,2015,Summer,Salt Run,N,SR10,S15SR10R6,4,23,121,36,0,0,36,157,2,21,27,50
S16,2016,Summer,Salt Run,N,SR1A,S16SR1R0,17,36,122,2,13,2,17,139,25,48,49,122
S16,2016,Summer,Salt Run,N,SR1A,S16SR1R15,15,50,347,15,13,2,30,377,16,75,256,347
S16,2016,Summer,Salt Run,N,SR1A,S16SR1R9,9,33,171,0,13,3,16,187,31,39,101,171
S15,2015,Summer,Salt Run,Y,SR2,S15SR2R12,13,19,39,4,0,0,4,43,3,24,12,39
S15,2015,Summer,Salt Run,Y,SR2,S15SR2R24,4,23,83,20,0,0,20,103,4,20,26,50
S15,2015,Summer,Salt Run,Y,SR2,S15SR2R4,6,25,33,0,0,0,0,33,1,24,8,33
W15,2015,Winter,Salt Run,Y,SR2,W15SR2R42,0,9,26,0,0,0,0,26,2,23,1,26
W15,2015,Winter,Salt Run,Y,SR2,W15SR2R50,0,11,42,28,0,0,28,70,0,23,19,42
W15,2015,Winter,Salt Run,Y,SR2,W15SR2R21,2,9,54,3,1,0,4,58,2,31,17,50
S16,2016,Summer,Salt Run,Y,SR22,S16SR22R9,5,23,22,5,0,3,8,30,1,9,12,22
S16,2016,Summer,Salt Run,Y,SR22,S16SR22R1,6,26,55,65,1,1,67,122,4,29,22,55
S16,2016,Summer,Salt Run,Y,SR22,S16SR22R2,11,28,70,114,2,1,117,187,2,25,43,70
S16,2016,Summer,Salt Run,Y,SR24,S16SR24R2,2,25,24,2,0,0,2,26,3,16,5,24
S16,2016,Summer,Salt Run,Y,SR24,S16SR24R7,7,35,39,1,2,0,3,42,1,25,13,39
S16,2016,Summer,Salt Run,Y,SR24,S16SR24R8,7,30,71,2,2,3,7,78,6,24,41,71
S16,2016,Summer,Salt Run,Y,SR28,S16SR28R10,3,20,16,1,0,0,1,17,1,13,2,16
S16,2016,Summer,Salt Run,Y,SR28,S16SR28R12,4,20,12,0,0,0,0,12,3,5,4,12
S16,2016,Summer,Salt Run,Y,SR28,S16SR28R2,1,19,48,4,0,0,4,52,2,17,29,48
S15,2015,Summer,Salt Run,Y,SR2S,S15SR2SR12,2,11,30,2,0,0,2,32,0,19,11,30
S15,2015,Summer,Salt Run,Y,SR2S,S15SR2SR14,1,16,34,0,0,0,0,34,0,26,8,34
S15,2015,Summer,Salt Run,Y,SR2S,S15SR2SR6,9,16,54,58,0,1,59,114,1,18,31,50
S15,2015,Summer,Salt Run,Y,SR3,S15SR3R4,6,17,35,0,0,0,0,35,5,17,13,35
S15,2015,Summer,Salt Run,Y,SR3,S15SR3R10,4,16,17,1,1,0,2,19,1,14,2,17
S15,2015,Summer,Salt Run,Y,SR3,S15SR3R6,9,13,10,0,2,0,2,12,2,7,1,10
W15,2015,Winter,Salt Run,Y,SR3,W15SR3R9,9,8,36,2,3,0,5,43,3,27,6,36
W15,2015,Winter,Salt Run,Y,SR3,W15SR3R19,15,30,36,1,4,0,5,42,2,31,3,36
W15,2015,Winter,Salt Run,Y,SR3,W15SR3R11,9,17,40,5,7,0,12,54,2,33,5,40
W16,2016,Winter,Salt Run,Y,SR30,W16SR30R10,6,22,34,6,0,0,6,40,5,23,6,34
W16,2016,Winter,Salt Run,Y,SR30,W16SR30R13,13,24,42,1,0,0,1,43,1,34,7,42
W16,2016,Winter,Salt Run,Y,SR30,W16SR30R8,6,35,24,1,0,0,1,25,2,20,2,24
W16,2016,Winter,Salt Run,Y,SR37,W16SR37R1,2,29,40,0,0,0,0,40,3,34,3,40
W16,2016,Winter,Salt Run,Y,SR37,W16SR37R7,6,19,21,4,0,1,5,26,1,18,2,21
W16,2016,Winter,Salt Run,Y,SR37,W16SR37R9,7,30,39,4,0,0,4,43,2,28,9,39
S16,2016,Summer,Salt Run,Y,SR38,S16SR38R0,5,21,112,32,0,0,32,144,4,40,68,112
S16,2016,Summer,Salt Run,Y,SR38,S16SR38R12,9,17,36,12,0,0,12,48,3,18,15,36
S16,2016,Summer,Salt Run,Y,SR38,S16SR38R4,6,11,69,52,1,0,53,122,3,22,44,69
S15,2015,Summer,Salt Run,N,SR4,S15SR4R12,32,45,115,6,11,0,17,132,2,29,19,50
W15,2015,Winter,Salt Run,N,SR4,W15SR4R19,11,43,81,3,13,0,16,111,14,25,11,50
W15,2015,Winter,Salt Run,N,SR4,W15SR4R20,19,39,120,4,17,0,21,148,11,29,10,50
W15,2015,Winter,Salt Run,N,SR4,W15SR4R5,11,25,128,51,19,0,70,205,3,35,12,50
S15,2015,Summer,Salt Run,N,SR4,S15SR4R1,18,28,61,5,23,1,29,91,3,31,16,50
S15,2015,Summer,Salt Run,N,SR4,S15SR4R7,14,36,116,24,29,5,58,175,2,28,20,50
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R10,2,27,52,1,0,0,1,53,2,24,26,52
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R12,6,30,52,3,1,0,4,56,2,22,28,52
S16,2016,Summer,Salt Run,Y,SR41,S16SR41R38,13,25,113,10,1,2,13,126,5,31,77,113
S15,2015,Summer,Salt Run,N,SR5,S15SR5R7,28,60,81,0,13,3,16,97,7,29,14,50
W15,2015,Winter,Salt Run,N,SR5,W15SR5R8,34,44,139,28,23,0,51,214,11,26,13,50
S15,2015,Summer,Salt Run,N,SR5,S15SR5R4,18,64,132,2,27,2,31,167,6,22,22,50
W15,2015,Winter,Salt Run,N,SR5,W15SR5R3,18,26,213,20,31,0,51,290,5,27,18,50
S15,2015,Summer,Salt Run,N,SR5,S15SR5R5,21,47,154,3,32,2,37,196,3,21,26,50
W15,2015,Winter,Salt Run,N,SR5,W15SR5R5,27,48,232,7,36,0,43,301,6,19,25,50
S16,2016,Summer,Salt Run,N,SR55,S16SR55R15,8,23,31,41,0,2,43,74,6,13,12,31
S16,2016,Summer,Salt Run,N,SR55,S16SR55R8,8,9,6,8,0,1,9,15,0,0,6,6
S16,2016,Summer,Salt Run,N,SR55,S16SR55R4,2,7,55,156,5,0,161,216,4,11,40,55
W16,2016,Winter,Salt Run,N,SR55,W16SR55R11,7,48,45,116,0,0,116,161,5,37,3,45
W16,2016,Winter,Salt Run,N,SR55,W16SR55R5,5,38,36,18,0,0,18,54,4,27,5,36
W16,2016,Winter,Salt Run,N,SR55,W16SR55R9,6,32,51,156,0,0,156,213,8,39,4,51
W16,2016,Winter,Salt Run,N,SR56,W16SR56R14,21,53,89,77,0,0,77,171,15,66,8,89
W16,2016,Winter,Salt Run,N,SR56,W16SR56R5,19,51,212,104,17,2,123,373,17,116,79,212
W16,2016,Winter,Salt Run,N,SR56,W16SR56R9,14,55,220,201,19,0,220,481,18,140,62,220
W16,2016,Winter,Salt Run,N,SR57,W16SR57R8,14,52,77,244,0,0,244,321,0,54,23,77
W16,2016,Winter,Salt Run,N,SR57,W16SR57R6,10,37,70,135,2,0,137,207,1,52,17,70
W16,2016,Winter,Salt Run,N,SR57,W16SR57R12,15,44,66,35,3,1,39,105,6,51,9,66
S16,2016,Summer,Salt Run,N,SR58,S16SR58R15,15,25,45,10,1,0,11,56,3,26,16,45
S16,2016,Summer,Salt Run,N,SR58,S16SR58R28,11,29,65,49,1,1,51,116,4,28,33,65
S16,2016,Summer,Salt Run,N,SR58,S16SR58R14,11,14,83,36,4,0,40,123,6,35,42,83
S15,2015,Summer,Salt Run,Y,SR6,S15SR6R3,10,16,26,0,0,0,0,26,2,15,9,26
W15,2015,Winter,Salt Run,Y,SR6,W15SR6R6,8,20,7,0,0,0,0,7,0,7,0,7
S15,2015,Summer,Salt Run,Y,SR6,S15SR6R18,9,19,50,10,1,0,11,63,1,27,22,50
S15,2015,Summer,Salt Run,Y,SR6,S15SR6R9,8,20,44,0,4,0,4,48,2,24,18,44
W15,2015,Winter,Salt Run,Y,SR6,W15SR6R29,7,5,30,0,8,0,8,38,1,26,3,30
W15,2015,Winter,Salt Run,Y,SR6,W15SR6R25,10,8,28,1,12,0,13,41,1,23,4,28
S16,2016,Summer,Salt Run,N,SR60,S16SR60R8,17,37,184,54,4,1,59,243,11,61,112,184
S16,2016,Summer,Salt Run,N,SR60,S16SR60R27,11,40,76,7,5,1,13,89,5,37,34,76
S16,2016,Summer,Salt Run,N,SR60,S16SR60R3,10,10,102,20,7,0,27,129,8,25,69,102
S16,2016,Summer,Salt Run,N,SR62,S16SR62R14,4,6,11,2,0,0,2,13,0,11,0,11
S16,2016,Summer,Salt Run,N,SR62,S16SR62R18,5,11,5,4,0,0,4,9,2,3,0,5
S16,2016,Summer,Salt Run,N,SR62,S16SR62R4,7,6,24,4,0,0,4,28,1,17,6,24
W16,2016,Winter,Salt Run,Y,SR66,W16SR66R11,13,15,47,10,0,0,10,57,2,24,21,47
W16,2016,Winter,Salt Run,Y,SR66,W16SR66R24,6,13,49,6,3,0,9,58,4,39,6,49
W16,2016,Winter,Salt Run,Y,SR66,W16SR66R6,12,23,59,4,7,0,11,70,4,46,9,59
S16,2016,Summer,Salt Run,N,SR6A,S16SR6R2,22,28,102,5,20,0,25,127,11,43,48,102
S16,2016,Summer,Salt Run,N,SR6A,S16SR6R1,21,23,272,14,26,5,45,317,12,79,181,272
S16,2016,Summer,Salt Run,N,SR6A,S16SR6R11,16,32,141,0,31,4,35,176,17,48,76,141
S15,2015,Summer,Salt Run,N,SR7,S15SR7R8,12,38,16,15,0,0,15,32,7,4,5,16
W15,2015,Winter,Salt Run,N,SR7,W15SR7R18,19,40,30,50,15,0,65,95,14,9,7,30
W15,2015,Winter,Salt Run,N,SR7,W15SR7R5,16,42,62,64,17,0,81,145,17,26,7,50
S15,2015,Summer,Salt Run,N,SR7,S15SR7R5,13,31,85,73,42,0,115,207,8,21,21,50
S15,2015,Summer,Salt Run,N,SR7,S15SR7R4,24,35,60,72,44,0,116,178,11,20,19,50
W15,2015,Winter,Salt Run,N,SR7,W15SR7R12,19,39,85,216,50,0,266,351,23,22,5,50
S16,2016,Summer,Salt Run,N,SR70,S16SR70R12,13,16,100,12,3,0,15,115,4,34,62,100
S16,2016,Summer,Salt Run,N,SR70,S16SR70R2,8,21,43,0,16,6,22,65,0,21,22,43
S16,2016,Summer,Salt Run,N,SR70,S16SR70R3,37,29,156,4,19,13,36,192,6,57,93,156
S16,2016,Summer,Salt Run,N,SR71,S16SR71R13,20,17,177,12,31,7,50,227,18,53,106,177
S16,2016,Summer,Salt Run,N,SR71,S16SR71R12,18,31,148,7,37,3,47,195,13,60,75,148
S16,2016,Summer,Salt Run,N,SR71,S16SR71R2,13,21,131,6,41,4,51,182,12,44,75,131
S16,2016,Summer,Salt Run,N,SR76,S16SR76R11,16,26,186,1,15,5,21,207,4,41,141,186
S16,2016,Summer,Salt Run,N,SR76,S16SR76R20,11,29,110,3,25,7,35,145,10,38,62,110
S16,2016,Summer,Salt Run,N,SR76,S16SR76R13,17,32,257,16,42,20,78,335,7,57,193,257
S16,2016,Summer,Salt Run,N,SR7A,S16SR7R6,12,33,21,0,0,0,0,21,2,10,9,21
S16,2016,Summer,Salt Run,N,SR7A,S16SR7R5,12,22,36,1,4,0,5,41,6,18,12,36
S16,2016,Summer,Salt Run,N,SR7A,S16SR7R2,17,41,233,6,12,4,22,255,13,68,152,233
S15,2015,Summer,Salt Run,N,SR8,S15SR8R10,4,14,52,30,0,0,30,82,11,18,21,50
S15,2015,Summer,Salt Run,N,SR8,S15SR8R5,8,24,75,59,0,0,59,134,13,24,13,50
W15,2015,Winter,Salt Run,N,SR8,W15SR8R17,14,24,48,34,0,0,34,82,16,26,6,48
S15,2015,Summer,Salt Run,N,SR8,S15SR8R2,5,26,124,32,1,0,33,157,12,13,25,50
W15,2015,Winter,Salt Run,N,SR8,W15SR8R15,6,22,26,14,8,0,22,48,12,8,6,26
W15,2015,Winter,Salt Run,N,SR8,W15SR8R1,16,34,81,57,9,0,66,147,29,10,11,50
S16,2016,Summer,Salt Run,N,SR80,S16SR80R29,14,26,84,0,6,0,6,90,3,13,68,84
S16,2016,Summer,Salt Run,N,SR80,S16SR80R17,24,24,151,10,31,10,51,202,13,41,97,151
